"Plot Title: 20432185_TidbiTv2_LOGGER1"
"#","Date Time, GMT-07:00","Avg: Temperature, °C (LGR S/N: 20432185)","Coupler Detached (LGR S/N: 20432185)","Coupler Attached (LGR S/N: 20432185)","Stopped (LGR S/N: 20432185)","End Of File (LGR S/N: 20432185)"
123,03/12/19 03:44:00 AM,15.700,,,,
124,03/12/19 03:54:00 AM,15.318,,,,
125,03/12/19 04:04:00 AM,15.533,,,,
126,03/12/19 04:14:00 AM,15.867,,,,
127,03/12/19 04:24:00 AM,15.772,,,,
128,03/12/19 04:34:00 AM,15.509,,,,
129,03/12/19 04:44:00 AM,15.533,,,,
130,03/12/19 04:54:00 AM,15.629,,,,
131,03/12/19 05:04:00 AM,15.652,,,,
132,03/12/19 05:14:00 AM,15.270,,,,
133,03/12/19 05:24:00 AM,15.533,,,,
134,03/12/19 05:34:00 AM,16.034,,,,
135,03/12/19 05:44:00 AM,16.034,,,,
136,03/12/19 05:54:00 AM,15.605,,,,
137,03/12/19 06:04:00 AM,15.366,,,,
138,03/12/19 06:14:00 AM,15.390,,,,
139,03/12/19 06:24:00 AM,15.461,,,,
140,03/12/19 06:34:00 AM,15.509,,,,
141,03/12/19 06:44:00 AM,15.581,,,,
142,03/12/19 06:54:00 AM,15.629,,,,
143,03/12/19 07:04:00 AM,15.676,,,,
144,03/12/19 07:14:00 AM,15.724,,,,
145,03/12/19 07:24:00 AM,15.748,,,,
146,03/12/19 07:34:00 AM,15.772,,,,
147,03/12/19 07:44:00 AM,15.819,,,,
148,03/12/19 07:54:00 AM,15.557,,,,
149,03/12/19 08:04:00 AM,15.438,,,,
150,03/12/19 08:14:00 AM,15.461,,,,
151,03/12/19 08:24:00 AM,15.485,,,,
152,03/12/19 08:34:00 AM,15.557,,,,
153,03/12/19 08:44:00 AM,15.629,,,,
154,03/12/19 08:54:00 AM,15.676,,,,
155,03/12/19 09:04:00 AM,15.724,,,,
156,03/12/19 09:14:00 AM,15.581,,,,
157,03/12/19 09:24:00 AM,15.438,,,,
158,03/12/19 09:34:00 AM,16.082,,,,
159,03/12/19 09:44:00 AM,16.177,,,,
160,03/12/19 09:54:00 AM,15.796,,,,
