"Plot Title: 11-14MAR19_LightTempLogger_CH04"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454915, SEN S/N: 20454915)","Intensity, lum/ft² (LGR S/N: 20454915, SEN S/N: 20454915)","Coupler Attached (LGR S/N: 20454915)","Coupler Detached (LGR S/N: 20454915)","Stopped (LGR S/N: 20454915)","End Of File (LGR S/N: 20454915)"
104,03/12/19 12:37:52 AM,15.282,0.0,,,,
105,03/12/19 12:47:52 AM,15.282,0.0,,,,
106,03/12/19 12:57:52 AM,15.282,0.0,,,,
107,03/12/19 01:07:52 AM,15.282,0.0,,,,
108,03/12/19 01:17:52 AM,15.378,0.0,,,,
109,03/12/19 01:27:52 AM,15.282,0.0,,,,
110,03/12/19 01:37:52 AM,15.282,0.0,,,,
111,03/12/19 01:47:52 AM,15.282,0.0,,,,
112,03/12/19 01:57:52 AM,15.282,0.0,,,,
113,03/12/19 02:07:52 AM,15.282,0.0,,,,
114,03/12/19 02:17:52 AM,15.282,0.0,,,,
115,03/12/19 02:27:52 AM,15.378,0.0,,,,
116,03/12/19 02:37:52 AM,15.282,0.0,,,,
117,03/12/19 02:47:52 AM,15.187,0.0,,,,
118,03/12/19 02:57:52 AM,15.187,0.0,,,,
119,03/12/19 03:07:52 AM,15.187,0.0,,,,
120,03/12/19 03:17:52 AM,15.282,0.0,,,,
121,03/12/19 03:27:52 AM,15.282,0.0,,,,
122,03/12/19 03:37:52 AM,15.378,0.0,,,,
123,03/12/19 03:47:52 AM,15.378,0.0,,,,
124,03/12/19 03:57:52 AM,15.187,0.0,,,,
125,03/12/19 04:07:52 AM,15.187,0.0,,,,
126,03/12/19 04:17:52 AM,15.282,0.0,,,,
127,03/12/19 04:27:52 AM,15.282,0.0,,,,
128,03/12/19 04:37:52 AM,15.378,0.0,,,,
129,03/12/19 04:47:52 AM,15.282,0.0,,,,
130,03/12/19 04:57:52 AM,15.282,0.0,,,,
131,03/12/19 05:07:52 AM,15.378,0.0,,,,
132,03/12/19 05:17:52 AM,15.282,0.0,,,,
133,03/12/19 05:27:52 AM,15.282,0.0,,,,
134,03/12/19 05:37:52 AM,15.282,0.0,,,,
135,03/12/19 05:47:52 AM,15.378,0.0,,,,
136,03/12/19 05:57:52 AM,15.378,0.0,,,,
137,03/12/19 06:07:52 AM,15.378,0.0,,,,
138,03/12/19 06:17:52 AM,15.378,0.0,,,,
139,03/12/19 06:27:52 AM,15.378,0.0,,,,
140,03/12/19 06:37:52 AM,15.378,0.0,,,,
141,03/12/19 06:47:52 AM,15.378,0.0,,,,
142,03/12/19 06:57:52 AM,15.378,0.0,,,,
143,03/12/19 07:07:52 AM,15.473,0.0,,,,
144,03/12/19 07:17:52 AM,15.473,0.0,,,,
145,03/12/19 07:27:52 AM,15.378,0.0,,,,
146,03/12/19 07:37:52 AM,15.378,0.0,,,,
147,03/12/19 07:47:52 AM,15.378,0.0,,,,
148,03/12/19 07:57:52 AM,15.378,0.0,,,,
149,03/12/19 08:07:52 AM,15.378,0.0,,,,
150,03/12/19 08:17:52 AM,15.378,0.0,,,,
